bufferRadius_max,col_index,row_index,dem_mean,risknum_max
,4,58,3.20615256015753,
,4,59,3.1707492554873,
,4,60,3.12065054232176,
,4,61,3.09699561526886,
,4,62,3.07978733049239,
,4,63,3.04057784596784,
,4,64,3.00371453609187,
,4,65,2.98459775338561,
,4,66,2.92731316196407,
,4,67,2.89770374683501,
,4,68,2.85530578275323,
,4,69,2.80197379514992,
,4,70,2.79394393777276,
,4,71,2.76789260514346,
,4,72,2.71937291366636,
,4,73,2.68360276820413,
,4,74,2.64344079201634,
,4,75,2.60109839904974,
,4,76,2.55799349705793,
,4,77,2.50452617498535,
,4,78,2.46424624390099,
,4,79,2.43921770065066,
,5,0,5.17319688552974,
,5,1,5.18437395560071,
,5,2,5.16127287129549,
,5,3,5.12289508290409,
,5,4,5.09705256064057,
,5,5,5.06990769974597,
,5,6,5,
,5,7,5,
,5,8,5,
,5,9,4.93834435735559,
2.5,5,10,4.90605488762803,
,5,11,4.86626662027989,
,5,12,4.82120559162155,
,5,13,4.78596808870961,
2.5,5,14,4.74457651926881,
,5,15,4.69999980926514,
,5,16,4.69999980926514,
,5,17,4.69505559978864,
2.5,5,18,4.61254415948068,
,5,19,4.60038293943101,
,5,20,4.5436572629505,
,5,21,4.50739849437857,
,5,22,4.47149403379725,
4,5,23,4.42263469044963,
4,5,24,4.39665491452437,
,5,25,4.37845457377249,
,5,26,4.33968908138237,
,5,27,4.30318093612959,
,5,28,4.28709547292267,
2.5,5,29,4.22754422170845,
2.5,5,30,4.1994630687184,
2.5,5,31,4.1541671839276,
2.5,5,32,4.10408182629367,
,5,33,4.09320791770352,
,5,34,4.06575911548634,
,5,35,4.01979698059266,
,5,36,4.00037586336707,
,5,37,3.96329216766285,
,5,38,3.91493158834035,
,5,39,3.8837952317985,
,5,40,3.83750117756341,
,5,41,3.7965442305716,
,5,42,3.77196575452265,
,5,43,3.71007466517168,
7.5,5,44,3.70033363981269,
,5,45,3.70000004768372,
,5,46,3.63609945230919,
,5,47,3.60570789853388,
7.5,5,48,3.56473754094876,
7.5,5,49,3.52014246822269,
7.5,5,50,3.48515512369348,
2.5,5,51,3.44279759321844,
2.5,5,52,3.40000009536743,
,5,53,3.40000009536743,
,5,54,3.3917083360943,
2.5,5,55,3.31368284853893,
2.5,5,56,3.29999995231628,
,5,57,3.24229048932866,
,5,58,3.20617328293024,
,5,59,3.1708431534416,
,5,60,3.12069311948472,
,5,61,3.09999990463257,
,5,62,3.09825846549335,
,5,63,3.06117331302494,
,5,64,3.00565318362038,
,5,65,2.98462606562324,
,5,66,2.92742132484371,
,5,67,2.8977101995072,
,5,68,2.85543137246403,
,5,69,2.80197827739616,
,5,70,2.79999995231628,
,5,71,2.79275952619107,
,5,72,2.72882444716205,
,5,73,2.70101326150303,
,5,74,2.66098467916198,
,5,75,2.61464590019278,
,5,76,2.58220384351121,
,5,77,2.53649928176915,
,5,78,2.49853585264691,
,5,79,2.48843357849014,
,6,0,5.19999980926514,
,6,1,5.19999980926514,
,6,2,5.1855206606808,
,6,3,5.13850334013677,
,6,4,5.09725598237122,
,6,5,5.0719635810491,
,6,6,5.00542916710294,
,6,7,5.0003951360971,
,6,8,5,
,6,9,4.93843881019827,
2.5,6,10,4.90609677669497,
,6,11,4.8663392325555,
,6,12,4.82126932125555,
,6,13,4.78601899650231,
2.5,6,14,4.74466231882495,
,6,15,4.69999980926514,
,6,16,4.69999980926514,
,6,17,4.69506270936802,
2.5,6,18,4.61266991727619,
,6,19,4.60038677940496,
,6,20,4.54376793458392,
,6,21,4.50742416465477,
,6,22,4.47158286486361,
,6,23,4.4226822012929,
4,6,24,4.40000009536743,
4,6,25,4.39789140912222,
,6,26,4.36353335468201,
,6,27,4.3051517914508,
,6,28,4.28711884476425,
,6,29,4.2276575572157,
,6,30,4.19946453751648,
,6,31,4.15429260555368,
2.5,6,32,4.10409127777912,
2.5,6,33,4.09999990463257,
2.5,6,34,4.0922685251119,
,6,35,4.03118472128155,
,6,36,4.00063569336733,
,6,37,3.96335361862956,
,6,38,3.91500666200287,
,6,39,3.88383481292834,
,6,40,3.8375981210628,
,6,41,3.79868838943872,
,6,42,3.78882811058661,
7.5,6,43,3.75601197615373,
7.5,6,44,3.70185472241342,
,6,45,3.70000004768372,
,6,46,3.63619899398889,
,6,47,3.60574485453764,
,6,48,3.56481521710803,
,6,49,3.52020128974689,
7.5,6,50,3.48628487411069,
7.5,6,51,3.4464849080902,
7.5,6,52,3.40419341485206,
2.5,6,53,3.40000009536743,
2.5,6,54,3.39172041569227,
2.5,6,55,3.31380726662442,
,6,56,3.29999995231628,
,6,57,3.24240626832945,
,6,58,3.20619400161292,
,6,59,3.17309065088985,
,6,60,3.12531069032322,
,6,61,3.10232067089562,
,6,62,3.09831958069306,
,6,63,3.06129888785461,
,6,64,3.00573951590369,
,6,65,2.98465434463648,
,6,66,2.92752936079431,
,6,67,2.89771665217939,
,6,68,2.85555696217482,
,6,69,2.80198275964241,
,6,70,2.79999995231628,
,6,71,2.79285876381876,
,6,72,2.72894990126346,
,6,73,2.70106140936701,
,6,74,2.66105109892257,
,6,75,2.61471597811566,
,6,76,2.58224833810981,
,6,77,2.5365911021344,
,6,78,2.5,
,6,79,2.49863095712752,
,7,0,5.19999980926514,
,7,1,5.19999980926514,
,7,2,5.18555519994095,
,7,3,5.1386050888947,
,7,4,5.09893017308435,
,7,5,5.08892136862008,
,7,6,5.05274230519905,
,7,7,5.00383859775048,
,7,8,5,
,7,9,4.93853354747043,
2.5,7,10,4.90613879190406,
2.5,7,11,4.86641206349125,
,7,12,4.82133324280105,
,7,13,4.78623467284644,
2.5,7,14,4.74531932248813,
,7,15,4.70071045892853,
,7,16,4.69999980926514,
,7,17,4.69506979713975,
2.5,7,18,4.61279528932717,
,7,19,4.60039060760033,
,7,20,4.54387893948709,
,7,21,4.50744991223285,
,7,22,4.47201419143238,
,7,23,4.42345592230835,
,7,24,4.40040735285251,
4,7,25,4.39794764818436,
4,7,26,4.36365900308763,
,7,27,4.30524295324149,
,7,28,4.28714214641345,
,7,29,4.22777055234371,
